seed,value
1.0,0.035908082634286
2.0,0.0496732707508886
3.0,0.0600970222105414
4.0,0.0482991303006852
5.0,0.0316011902500471
6.0,0.0122745808242766
7.0,0.0353150901721599
8.0,0.0330556658665562
9.0,0.0293285157198719
10.0,0.0117453835593775
11.0,0.0501048110637623
12.0,0.0493357663005812
13.0,0.0297126333678327
14.0,0.0417429853972042
15.0,0.032234712334059
16.0,0.0434913867998392
17.0,0.0282379146441925
18.0,0.0325056323260678
19.0,0.0255820725836933
20.0,0.0199254997222205
21.0,0.0172009000277921
22.0,0.0253576976412883
23.0,0.021230277680816
24.0,0.0135452638264943
25.0,0.0250203525333357
26.0,0.0577868704907328
27.0,0.0240246541998435
28.0,0.0270915910269839
29.0,0.0044749343743368
30.0,0.0127648614674027
31.0,0.0443116043280416
32.0,0.041258507051658
33.0,0.0287553421974025
34.0,0.0409662121768308
35.0,0.0593166603053309
36.0,0.0636832953027042
37.0,0.0465858525030764
38.0,0.0298551710843566
39.0,0.0294323992208877
40.0,0.0552930665384109
41.0,0.0668785509615087
42.0,0.0434787886291542
43.0,0.0288459139890767
44.0,0.0485769688808586
45.0,0.0147199355581611
46.0,0.0384167207373099
47.0,0.0304916683070882
48.0,0.0290245821904899
49.0,0.0355762379861749
50.0,0.0270808030336844
51.0,0.0412720663179884
52.0,0.052720990996229
53.0,0.054192533830066
54.0,0.039296161093253
55.0,0.034303072772735
56.0,0.040490232909091
57.0,0.0415558294017096
58.0,0.0454375825221549
59.0,0.0314853946644337
60.0,0.0274027685689949
61.0,0.0428620130180023
62.0,0.035803921077119
63.0,0.0303115628250295
64.0,0.0232203242460051
65.0,0.0529318738096405
66.0,0.0363476429724437
67.0,0.0298202867913773
68.0,0.0407533492749547
69.0,0.0223747205475542
70.0,0.0337431129002737
71.0,0.0172843051328298
72.0,0.0122975700988879
73.0,0.0275482705371155
74.0,0.0166952419444672
75.0,0.0390433529493971
76.0,0.0280104469935718
77.0,0.0295478156534859
78.0,0.0228033218300243
79.0,0.0333466015623651
80.0,0.0088960613665932
81.0,0.0246392878400983
82.0,0.0452210817488647
83.0,0.0469631059755118
84.0,0.0503292314106223
85.0,0.0442652723163007
86.0,0.0221115205295137
87.0,0.0410452515879731
88.0,0.0207212909328021
89.0,0.0110184740261398
90.0,0.0309561037837314
91.0,0.0364814152020463
92.0,0.0098966210433203
93.0,0.0249484228413572
94.0,0.036950426252973
